trip_id,vehicle_type,location,distance,fare,timestamp
TRX0496,Car,Semarang,17.7499,24512,2026-04-03T14:22:56.000
TRX0687,Car,Medan,1.1525,54046,2026-04-03T14:35:39.000
TRX0063,Taxi,Surabaya,14.1221,41874,2026-04-03T14:03:39.000
TRX0915,Car,Semarang,17.1552,26758,2026-04-03T14:39:05.000
TRX0734,Taxi,Surabaya,3.2765,59841,2026-04-03T14:36:24.000
TRX0671,Taxi,Semarang,17.878,99791,2026-04-03T14:35:21.000
TRX0238,Car,Jakarta,7.7691,46694,2026-04-03T14:06:14.000
TRX0755,Motorbike,Jakarta,7.6891,52069,2026-04-03T14:36:42.000
TRX0552,Motorbike,Medan,19.4929,29663,2026-04-03T14:23:43.000
TRX0785,Car,Surabaya,19.6498,89185,2026-04-03T14:37:05.000
TRX0633,Taxi,Medan,7.0521,41136,2026-04-03T14:34:45.000
TRX0541,Taxi,Jakarta,18.9824,73812,2026-04-03T14:23:33.000
TRX0543,Taxi,Jakarta,12.7288,96995,2026-04-03T14:23:35.000
TRX0852,Taxi,Jakarta,5.1521,82398,2026-04-03T14:38:07.000
TRX0706,Taxi,Jakarta,17.3503,72242,2026-04-03T14:35:58.000
TRX0661,Car,Bandung,14.2575,34556,2026-04-03T14:35:12.000
TRX0140,Taxi,Jakarta,19.8911,12729,2026-04-03T14:04:44.000
TRX0265,Taxi,Medan,14.7697,96949,2026-04-03T14:06:39.000
TRX0906,Motorbike,Bandung,5.9308,80153,2026-04-03T14:38:57.000
TRX0466,Taxi,Bandung,1.6596,78925,2026-04-03T14:22:31.000
TRX0961,Motorbike,Bandung,10.4548,61350,2026-04-03T14:39:46.000
TRX0826,Car,Medan,19.3962,28351,2026-04-03T14:37:42.000
TRX0422,Car,Surabaya,13.8813,45685,2026-04-03T14:21:56.000
TRX0231,Car,Jakarta,12.1119,87326,2026-04-03T14:06:07.000
TRX0279,Taxi,Medan,17.4013,99829,2026-04-03T14:06:48.000
TRX0277,Motorbike,Jakarta,11.7489,29094,2026-04-03T14:06:47.000
TRX0723,Motorbike,Bandung,14.8092,75679,2026-04-03T14:36:12.000
TRX0433,Car,Surabaya,10.5907,21707,2026-04-03T14:22:04.000
TRX0410,Motorbike,Surabaya,9.6094,23342,2026-04-03T14:21:44.000
TRX0831,Taxi,Surabaya,16.9599,23279,2026-04-03T14:37:47.000
TRX0974,Motorbike,Medan,6.0502,98238,2026-04-03T14:39:59.000
TRX0334,Car,Jakarta,4.1027,40321,2026-04-03T14:20:34.000
TRX0694,Car,Surabaya,14.0508,19108,2026-04-03T14:35:47.000
TRX0663,Motorbike,Medan,5.4324,17645,2026-04-03T14:35:13.000
TRX0192,Motorbike,Semarang,14.507,44317,2026-04-03T14:05:32.000
TRX0920,Motorbike,Bandung,9.9098,53462,2026-04-03T14:39:08.000
TRX0546,Motorbike,Semarang,16.4046,67771,2026-04-03T14:23:37.000
TRX0810,Car,Jakarta,7.8105,33056,2026-04-03T14:37:28.000
TRX0934,Car,Jakarta,16.9517,14017,2026-04-03T14:39:23.000
TRX0886,Motorbike,Surabaya,13.7984,27812,2026-04-03T14:38:37.000
TRX0594,Taxi,Bandung,17.7904,68632,2026-04-03T14:34:12.000
TRX0692,Taxi,Bandung,18.2095,77406,2026-04-03T14:35:44.000
TRX0534,Motorbike,Semarang,13.5533,77300,2026-04-03T14:23:27.000
TRX0450,Taxi,Surabaya,10.6002,99780,2026-04-03T14:22:17.000
TRX0484,Motorbike,Bandung,19.5541,39021,2026-04-03T14:22:47.000
TRX0470,Motorbike,Semarang,19.6468,65798,2026-04-03T14:22:35.000
TRX0970,Motorbike,Surabaya,0.8433,56608,2026-04-03T14:39:55.000
TRX0269,Car,Jakarta,13.0664,23432,2026-04-03T14:06:42.000
TRX0385,Motorbike,Bandung,14.0071,59952,2026-04-03T14:21:22.000
TRX0358,Taxi,Medan,8.7746,6062,2026-04-03T14:20:57.000
